motivo_perda;valor;segmento;data_perda
Cliente achou nosso preço muito caro para o orçamento dele.;18000;PME;03/06/2026
Demoramos quase duas semanas para enviar a proposta e o cliente já tinha decidido por outro fornecedor.;42000;Enterprise;10/06/2026
O cliente simplesmente sumiu depois da terceira reunião, não conseguimos mais contato.;9500;Varejo;12/06/2026
O projeto ficou sem orçamento aprovado depois do corte de gastos da empresa.;65000;Enterprise;15/06/2026
Nosso produto não tem integração nativa com o ERP que eles usam.;27000;Indústria;18/06/2026
O decisor que estava negociando saiu da empresa no meio do processo.;31000;PME;20/06/2026
;12000;Varejo;22/06/2026
Perdemos porque o concorrente ofereceu um preço bem mais barato.;15500;PME;25/06/2026
A proposta chegou tarde demais, o cliente já tinha fechado com a concorrência.;22000;Educação;27/06/2026
Paramos de conseguir retorno do contato principal, parou de responder e-mails.;8700;Varejo;01/07/2026
A diretoria congelou o investimento em novas ferramentas neste trimestre.;53000;Enterprise;03/07/2026
Falta a funcionalidade de relatório customizado que era obrigatória para eles.;19800;Saúde;05/07/2026
n/a;6400;PME;07/07/2026
Fechou com o concorrente por um valor 20% menor.;24500;PME;09/07/2026
Ficamos muito tempo sem retornar e o atraso pesou na decisão final.;33000;Indústria;11/07/2026
Tentamos falar várias vezes mas o cliente não retornou nenhuma ligação.;11200;Varejo;13/07/2026
A área ficou sem verba para novas contratações este ano.;47000;Enterprise;15/07/2026
Fica sem integração com o sistema de pagamento que o cliente já usa.;16900;Saúde;17/07/2026
Trocou de cargo bem no fechamento e o novo responsável recomeçou tudo do zero.;29000;PME;19/07/2026
Achou caro perto do que o concorrente cobra.;13500;Varejo;21/07/2026
Decidiu resolver internamente com a equipe própria de TI em vez de contratar.;38000;Indústria;23/07/2026
Não sei, só marcou como perdido no sistema.;7200;PME;25/07/2026
Sem informação registrada pelo vendedor.;9900;Educação;27/07/2026
