data;categoria;descricao;valor
05/04/2026;Folha;Folha de pagamento - quinzena 1;23100,00
20/04/2026;Folha;Folha de pagamento - quinzena 2;18900,00
08/04/2026;Folha;Vale transporte e refeição;3200,00
10/04/2026;Aluguel;Aluguel do escritório;8500,00
03/04/2026;Software;Assinatura CRM;690,00
04/04/2026;Software;Hospedagem AWS;540,00
05/04/2026;Software;Ferramenta de design;210,00
06/04/2026;Marketing;Anúncios redes sociais;3200,00
08/04/2026;Marketing;Agência de conteúdo;4500,00
10/04/2026;Marketing;Materiais gráficos;780,00
12/04/2026;Marketing;Impulsionamento de posts;1150,00
18/04/2026;Impostos;DAS - Simples Nacional;5200,00
19/04/2026;Impostos;ISS sobre serviços;1180,00
24/04/2026;Fornecedores;Matéria-prima - fornecedor A;6200,00
25/04/2026;Fornecedores;Insumos de escritório;480,00
26/04/2026;Fornecedores;Manutenção de equipamentos;620,00
27/04/2026;Fornecedores;Consultoria contábil;1450,00
05/05/2026;Folha;Folha de pagamento - quinzena 1;23100,00
20/05/2026;Folha;Folha de pagamento - quinzena 2;18900,00
08/05/2026;Folha;Vale transporte e refeição;3260,00
10/05/2026;Aluguel;Aluguel do escritório;8500,00
03/05/2026;Software;Assinatura CRM;717,60
04/05/2026;Software;Hospedagem AWS;561,60
05/05/2026;Software;Ferramenta de design;218,40
06/05/2026;Software;Assinatura ERP financeiro;925,60
06/05/2026;Marketing;Anúncios redes sociais;3450,00
08/05/2026;Marketing;Agência de conteúdo;4500,00
10/05/2026;Marketing;Materiais gráficos;780,00
12/05/2026;Marketing;Impulsionamento de posts;1450,00
15/05/2026;Viagens;Passagem aérea - visita a cliente;1530,00
16/05/2026;Viagens;Hospedagem - visita a cliente;620,00
18/05/2026;Impostos;DAS - Simples Nacional;5290,00
24/05/2026;Fornecedores;Matéria-prima - fornecedor A;6320,00
25/05/2026;Fornecedores;Insumos de escritório;480,00
26/05/2026;Fornecedores;Manutenção de equipamentos;620,00
27/05/2026;Fornecedores;Consultoria contábil;1450,00
05/06/2026;Folha;Folha de pagamento - quinzena 1;23100,00
20/06/2026;Folha;Folha de pagamento - quinzena 2;18900,00
08/06/2026;Folha;Vale transporte e refeição;3320,00
10/06/2026;Aluguel;Aluguel do escritório;8500,00
03/06/2026;Software;Assinatura CRM;745,20
04/06/2026;Software;Hospedagem AWS;583,20
05/06/2026;Software;Ferramenta de design;226,80
06/06/2026;Software;Assinatura ERP financeiro;961,20
07/06/2026;Software;Ferramenta de IA para atendimento;669,60
06/06/2026;Marketing;Anúncios redes sociais;3700,00
08/06/2026;Marketing;Agência de conteúdo;4500,00
10/06/2026;Marketing;Materiais gráficos;780,00
12/06/2026;Marketing;Impulsionamento de posts;1150,00
18/06/2026;Impostos;DAS - Simples Nacional;5380,00
19/06/2026;Impostos;ISS sobre serviços;1180,00
24/06/2026;Fornecedores;Matéria-prima - fornecedor A;6440,00
25/06/2026;Fornecedores;Insumos de escritório;480,00
26/06/2026;Fornecedores;Manutenção de equipamentos;620,00
27/06/2026;Fornecedores;Consultoria contábil;1450,00
05/07/2026;Folha;Folha de pagamento - quinzena 1;24475,00
20/07/2026;Folha;Folha de pagamento - quinzena 2;20025,00
08/07/2026;Folha;Vale transporte e refeição;3380,00
